food_code,food_name,energy_kcal,protein_g,carb_g,fat_g,fibre_g,freesugar_g,sodium_mg
BFP458,Peanut butter cucumber sandwich,243.33,9.043,29.759,10.559,3.35,2.915,460.09
BFP459,Mint and peanut sandwich,273.588,7.177,31.828,13.884,3.674,2.783,453.301
BFP460,Spicy chutney sandwich,249.582,8.742,34.027,9.581,3.732,3.958,315.399
BFP461,Chicken walnut sandwich (Chicken aur akhrot ke sandwich),285.778,12.584,22.615,16.766,1.531,1.773,287.395
BFP463,Rolled sandwich,293.066,6.453,34.687,15.285,2.065,2.702,321.57
BFP466,Ribbon sandwich,239.264,6.263,24.76,13.371,2.924,4.656,382.112
BFP467,Checker board sandwich,348.366,7.367,25.94,24.65,2.222,2.895,358.248
BFP468,Submarine sandwich,216.918,6.089,13.604,15.321,1.241,2.499,254.284
BFP470,Cheese open sandwich,274.068,9.84,28.419,14.243,1.745,3.238,504.412
BFP471,Sunset and sunrise open sandwich,241.311,8.581,18.894,15.137,1.389,1.945,381.286
BFP472,Danish luncheon sandwich,193.819,9.027,17.768,10.095,1.52,1.133,365.633
BFP473,Chicken and corn open sandwich,188.159,8.63,19.212,8.834,1.674,2.477,226.722
BFP476,Chocolate sponge cake,239.857,9.135,39.542,5.509,0.523,24.996,61.472
BFP478,Chocolate swiss roll,306.079,6.009,26.973,19.756,0.291,18.827,44.529
BFP479,Lemon curd filling,225.624,3.432,26.405,12.577,0.0,26.13,34.9
BFP480,Jam filling,184.615,0.0,46.154,0.0,0.0,41.538,0.0
BFP482,Chocolate pastry,243.37,7.053,32.236,10.123,0.317,22.338,46.544
BFP483,Assorted pastry,230.738,6.776,31.985,8.91,0.429,19.699,49.989
BFP484,Orange gateau,178.048,4.779,27.012,6.022,0.679,18.33,80.411
BFP485,Black forest gateau,217.817,5.939,30.568,8.58,0.281,21.974,79.372
BFP489,Lemon cake,373.851,5.286,43.1,20.627,0.622,25.84,151.294
BFP491,Dundee cake,396.616,7.781,41.4,22.698,1.812,21.3,182.738
BFP492,Victorian sandwich cake,373.088,5.18,44.739,19.834,0.592,28.183,145.281
BFP495,Chocolate eggless cake,312.006,6.664,43.446,13.189,0.321,34.199,196.61
BFP496,Orange eggless cake,355.621,7.157,52.645,13.821,0.557,37.869,226.277
BFP498,Chocolate glace icing,436.292,3.217,62.434,20.796,0.0,59.881,8.658
BFP499,Butter icing,500.716,0.186,71.637,25.371,0.0,71.637,5.975
BFP500,Chocolate butter icing,469.588,3.207,61.718,24.766,0.0,59.821,4.99
BFP502,Almond biscuit (Badam ke biscuit),407.739,6.245,52.142,19.705,1.501,22.195,151.757
BFP505,Orange biscuit,354.78,3.627,62.112,11.013,0.752,42.63,259.144
BFP506,Gingerman biscuit,357.427,6.256,55.245,12.73,1.997,21.642,918.573
BFP507,Coffee drops,443.071,7.57,43.056,27.164,1.876,18.268,88.172
BFP508,Christmas biscuit,406.07,5.667,60.972,15.883,2.173,26.013,127.362
BFP509,Christmas wreath biscuit,386.046,5.43,58.067,15.009,2.281,24.893,120.196
BFP510,Christmas bell biscuit,404.848,5.662,60.789,15.839,2.326,25.942,127.009
BFP511,Christmas star biscuit,392.029,3.54,74.543,10.036,1.475,53.052,76.087
BFP512,Christmas tree biscuit,385.634,5.43,58.412,14.996,2.652,24.77,120.455
BFP513,Chocolate cream shells,427.167,5.103,59.261,19.338,0.9,34.718,126.841
BFP516,Jelly biscuit,404.613,4.229,55.244,19.331,2.019,29.756,110.572
BFP517,Cherry and walnut cookies,422.604,5.625,59.353,18.751,1.296,30.365,114.616
BFP518,Cheese straws,382.001,9.833,30.608,24.284,1.288,1.786,587.417
BFP519,Butterfly biscuit,341.447,9.976,25.332,22.114,1.023,2.436,572.046
BFP521,Flan pastry,445.797,6.723,47.839,25.043,1.585,6.224,193.232
BFP522,Fruit flan,261.352,3.299,34.713,12.483,0.712,9.517,110.036
BFP523,Orange cream flan,280.283,4.735,36.162,13.585,0.634,25.27,82.407
BFP527,Fruit puree tart,286.502,3.347,30.417,16.827,1.306,9.789,49.65
BFP529,Apple banana pie,243.989,3.128,32.116,11.394,1.888,12.965,384.426
BFP531,Lemon chiffon pie,259.312,4.878,27.635,14.515,0.657,11.386,94.946
BFP532,Orange chiffon pie,207.569,3.888,23.137,11.158,0.696,10.456,73.229
BFP534,Cream buns,215.741,4.451,14.162,15.809,0.311,5.951,45.489
BFP535,Savoury puffs,190.785,9.511,10.801,15.243,0.332,4.509,2274.241
BFP536,Choux swans,216.335,4.354,14.924,15.604,0.35,6.129,145.084
BFP539,Potato aigrettes,530.027,2.351,8.006,54.239,0.448,0.733,112.454
BFP541,Cream horns,408.227,3.423,23.117,33.55,0.599,7.122,57.112
BFP542,Savoury cheese horns,295.147,5.661,21.378,20.705,0.73,2.744,212.285
BFP544,Paneer patties,338.582,7.598,22.795,23.956,1.176,4.042,158.445
BFP545,Vegetable patties ,261.921,4.006,20.979,17.74,2.625,1.493,139.518
BFP546,Pearl millet infant food (Bajra shishu aahaar),362.444,11.983,62.096,6.624,7.839,26.064,12.668
BFP547,Sajina,345.259,10.811,66.869,3.033,7.619,25.891,11.697
BFP548,Cereal mix ,120.81,3.318,21.838,2.016,2.033,10.682,9.286
BFP549,Pulse mix,83.292,3.157,15.995,0.544,2.249,6.585,3.875
BFP550,Shishu ahar,93.365,2.612,17.415,1.435,1.02,6.614,2.678
BFP552,Cereal pulse mix with amylase rice flour,151.571,4.267,27.805,2.742,3.465,8.839,1.029
BFP553,Banana groundnut paste/puree,213.188,4.273,36.155,5.451,1.701,31.675,16.848
BFP554,Rice dal porridge (Chawal dal ki khichdi/khichri),383.332,10.797,65.038,8.329,4.509,26.543,12.334
BFP555,Lentils and semolina porridge (Dal suji porridge/daliya),117.289,3.262,23.191,1.062,1.441,13.839,9.637
BFP556,Spinach khichri (Palak khichri/khichdi),102.179,3.429,17.35,1.909,1.56,0.206,69.592
BFP557,Vegetable mix,174.209,4.7,36.018,0.94,1.935,27.362,34.938
BFP558,Lentils and wheat porridge (Dal wheat porridge/daliya ),52.537,2.711,8.365,0.942,1.285,0.917,62.791
BFP559,Maize porridge,89.571,2.14,15.642,1.887,1.68,7.687,5.587
BFP560,Spinach peanut burfi (Palak aur mungfali ki burfi),105.373,3.355,13.591,4.395,2.073,11.498,19.522
BFP561,Split bengal gram burfi/fudge (Channa dal burfi),287.359,4.647,54.632,7.093,2.061,43.379,2.535
BFP563,Chickpea flour cookies (Sweet besan rounds/cookies),207.007,4.293,39.642,3.424,2.56,30.664,22.291
BFP564,Pearl millet mathri (Bajra mathri),785.078,1.822,7.422,83.122,1.36,0.159,33.172
BFP565,Sesame biscuit (Til ke biscuit),424.034,8.268,53.649,19.339,6.827,29.727,182.258
BFP566,Fermented bengal gram vada (Khameerikrit/Ufna hua channa dal ka vada),657.573,4.051,8.682,67.186,2.652,0.352,63.866
BFP568,Poshtik namak paras,613.391,6.49,19.523,56.577,4.554,0.871,44.01
BFP569,Soya chikki,423.698,7.185,62.888,15.514,3.55,45.468,17.241
BFP570,Besan bathua chilla/cheela,373.816,11.476,40.647,18.573,7.789,1.447,166.362
BFP571,Wheat flour and nuts ladoos (Atta nuts ladoos),391.902,9.462,44.315,19.192,7.304,15.939,8.072
BFP573,Gram flour and semolina dhokla (Besan suji dhokla),198.91,8.516,25.918,7.095,4.586,2.581,196.59
BFP574,Atta dal burfi ,298.797,6.663,40.643,12.472,4.077,21.079,3.555
BFP575,Soya roti,283.964,9.183,40.028,9.228,8.709,1.584,155.931
BFP576,Poshtik khichdi/khichri,93.368,3.043,15.638,1.883,1.995,0.26,41.671
BFP577,Namkeen daliya,295.111,8.285,49.319,7.993,8.566,0.818,149.633
BFP578,Sprouts upma ,316.246,9.502,44.955,10.438,7.164,1.671,147.82
BFP579,Semolina idli (Suji/Rava idli),206.39,9.345,33.671,3.474,5.846,3.416,185.015
BFP580,Poshtik chilla/cheela,159.534,4.848,27.466,3.04,4.909,1.221,97.177
BFP604,Stuffed bittergourd (dry) (Bharwa karela),217.648,1.287,2.489,22.384,3.0,0.066,519.288
BFP605,Cauliflower potato canjee,16.789,0.57,2.634,0.392,0.685,0.13,35.575
BFP606,Creamed spinach,96.915,5.184,4.442,6.391,1.328,1.59,156.021
BFP607,Mango milkshake with ice cream (Aam milkshake ice cream ke saath),68.35,1.931,9.181,2.798,0.23,9.106,16.636
BFP608,Pineapple milkshake with ice cream (Ananas milkshake ice cream ke saath),68.491,1.928,9.326,2.752,0.416,9.199,16.647
BFP609,Orange milkshake with ice cream (Narangi milkshake ice cream ke saath),67.816,1.949,9.15,2.749,0.161,8.999,16.652
OSR001,Woodapple juice (Bel ka sharbat),34.177,0.629,6.51,0.699,1.03,5.753,127.448
OSR002,Sattu drink,23.377,0.565,5.156,0.139,0.397,3.958,12.646
OSR004,Apple and honey sorbet (Seb aur shehad ka sharbat),121.297,0.153,30.742,0.289,1.131,29.18,1.973
OSR005,Thandai,101.177,3.591,9.133,5.887,0.796,8.207,22.691
OSR006,Cucumber sharbat (Kheere ka sharbat),27.284,0.259,6.635,0.058,0.781,5.464,2.566
OSR007,Apple oats chia seed smoothie,85.645,3.491,13.07,2.476,1.444,5.761,32.021
OSR008,Nannari sharbat,88.79,0.01,23.624,0.009,0.0,23.585,1.159
OSR009,Semolina milk drink (Thari kanji),44.162,0.984,6.925,1.363,0.723,3.882,11.948
OSR010,Saffron milk (Kesariya doodh),102.181,3.169,12.644,4.569,0.144,12.503,23.691
OSR011,Black rice kheer (Chak-hao kheer),147.937,4.366,22.93,4.905,0.765,12.569,25.768
OSR012,Coconut kheer (Nariyal ki kheer),162.612,3.398,14.423,10.547,1.534,13.73,45.973
OSR013,Apple sago payasam (Seb aur sabudana ki kheer),136.503,3.131,14.403,7.661,0.381,10.632,39.448
OSR014,Kesari bath,244.569,2.395,31.383,12.585,1.652,20.162,1.704
OSR015,Putharekulu,318.303,3.657,59.607,7.554,1.748,23.864,2.673
OSR016,Mango malpua,334.644,1.649,12.842,30.671,2.083,4.959,1.888
OSR017,Mango vanilla custard,147.631,3.43,18.407,7.044,0.994,14.621,30.119
OSR018,Kiwi granola pudding,280.988,5.601,32.332,15.36,3.71,15.076,59.214
OSR019,Oats burfi,425.187,8.886,62.468,17.269,4.958,32.927,8.147
OSR020,Lotus seed halwa (Kamal gattay ka halwa),370.55,7.79,39.562,20.688,0.423,9.797,3.057
OSR021,Amaranth ladoo (Rajgira ladoo),454.148,10.116,51.327,22.702,5.11,19.921,7.507
OSR022,Chhena poda,344.565,13.684,33.637,17.94,1.397,30.654,13.003
OSR023,Sweet couscous dessert,196.2,3.813,29.693,7.692,2.176,15.891,4.219
OSR024,Sweetened yogurt (Shrikhand),107.177,5.274,16.016,2.894,0.079,15.815,73.607
OSR025,Thickened sweetened milk (Rabri),102.795,3.515,10.546,5.349,0.195,10.093,23.917
OSR026,Gram flour halwa (Besan halwa),276.788,5.875,25.776,17.297,1.817,15.834,15.397
OSR027,Prawn sandwich,169.645,10.361,11.892,9.274,1.55,1.211,213.382
OSR028,Watercress sandwich,229.417,5.168,28.032,11.471,2.259,1.812,407.438
OSR029,Fish sandwich ,150.197,4.725,10.089,10.368,1.228,1.043,161.883
OSR030,Kidney bean sandwich with cottage cheese,176.641,9.845,18.86,6.842,3.659,3.688,97.972
OSR031,Finger millet biscuit (Ragi biscuit),458.564,4.028,52.69,25.795,5.968,16.903,98.236
OSR032,Buttermilk biscuit,322.544,5.762,34.927,17.501,1.181,3.445,323.745
OSR033,Lemon cookies,394.477,5.627,42.186,23.015,0.784,23.472,84.713
OSR034,Sweet potato biscuit (Shakarkand ke biscuit),296.398,5.135,38.133,13.308,2.269,2.529,339.581
OSR035,Raspberry shortbread cookies,441.121,2.996,61.248,21.251,0.746,40.862,6.064
OSR036,Pumpkin cookies ,218.395,2.514,44.692,3.93,1.06,31.624,51.493
OSR037,Greenpea cookies,159.417,6.529,23.074,4.243,5.317,14.447,229.895
OSR038,Sunflower cookies,520.623,9.49,40.064,36.282,3.951,24.28,181.681
OSR039,Cardamom cookies (Elaichi cookies),400.489,5.099,53.99,19.119,2.787,38.995,98.452
OSR040,Hazelnut cookies,493.316,6.248,39.437,34.973,2.454,22.008,81.055
OSR041,Milk cookies,459.434,10.494,48.428,24.961,0.995,22.061,156.526
OSR042,Cranberry cookies,272.482,3.922,36.391,12.661,1.127,19.964,58.253
OSR043,Olive biscuit,438.29,3.203,55.007,23.747,0.817,32.268,120.101
OSR045,Tutti fruitti biscuit,420.782,5.206,53.122,17.898,5.434,15.753,93.112
OSR046,Peach blueberry preserves,177.381,0.525,45.764,0.201,1.141,45.33,2.808
OSR047,Pear preserves (Naashpati ka murabba),101.239,0.251,25.666,0.186,3.058,25.188,2.099
OSR048,Starfruit preserves ,128.926,0.242,33.621,0.117,0.778,33.466,2.063
OSR049,Gooseberry pickle (Amla ka achaar),278.585,1.546,7.612,27.609,3.699,0.358,86.38
OSR050,Lotus stem pickle (Kamal kakdi ka achar),102.691,1.443,20.071,1.6,8.581,2.532,181.831
OSR051,Date pickle (Khajoor ka achaar),182.287,1.677,34.661,4.205,5.204,30.474,138.862
OSR052,Garlic pickle (Lahasun ka achar),413.618,3.722,9.754,39.884,5.126,2.323,269.123
OSR053,Fermented bamboo shoot pickle (Mesu pickle),59.832,1.579,1.732,5.591,2.238,0.286,161.308
OSR054,Sweet peach pickle (Aadoo ka achaar),144.635,0.462,37.01,0.204,1.315,36.464,33.036
OSR055,Pickled mustard greens ,13.121,1.509,1.051,0.223,1.695,0.021,242.358
OSR056,Small onion pickle ,16.865,1.647,2.764,0.639,1.086,2.988,249.48
OSR057,Green tomato pickle (Haray tamatar ka achaar),193.261,1.235,2.866,19.673,1.737,0.765,159.175
OSR058,Pickled cabbage ,13.694,0.391,2.561,0.136,0.609,2.08,121.387
OSR059,Coconut pickle (Nariyal ka aachar),517.256,3.023,11.534,51.71,6.349,8.979,176.543
OSR060,Potato pickle (Aloo ka achaar),369.14,2.074,7.865,36.456,2.212,0.82,213.733
OSR061,Mango murabba candy,293.346,0.268,77.317,0.053,0.952,74.731,13.707
OSR062,Afghani chicken,151.513,15.663,1.946,9.07,0.308,0.828,87.015
OSR063,Fish orly,563.7,5.872,4.266,58.184,0.327,0.237,136.369
OSR064,Hariyali Fish Tikka,150.237,14.01,2.205,9.406,0.989,0.835,100.45
OSR065,Chicken manchurian,142.338,9.534,6.063,11.958,0.412,0.895,2414.771
OSR066,Handi chicken,166.02,12.323,1.495,12.463,0.671,0.754,75.645
OSR067,Lemon chicken,169.789,20.198,0.551,9.655,0.16,0.162,79.935
OSR068,Lemon butter fish,160.246,16.383,0.754,10.259,0.362,0.228,187.724
OSR069,Baked eggs in tomato sauce,80.05,4.92,3.776,5.224,0.008,2.026,188.207
OSR070,Egg in a pepper,128.781,12.643,0.173,8.676,0.17,0.048,183.892
OSR071,Spinach mushroom scrambled egg (Palak mushroom bhurji),158.845,13.279,0.588,11.51,0.395,0.105,227.97
OSR072,Corn omelette/omlet,166.928,11.371,1.57,12.893,0.021,0.409,166.416
OSR073,Cajun chicken,184.942,12.692,1.943,13.987,0.888,1.097,1740.131
OSR074,Paaner do pyaza,127.705,4.216,3.406,10.87,0.837,2.197,160.664
OSR075,Cabbage manchurian (Pattagobhi manchurian),224.263,0.636,4.849,22.485,0.372,0.334,75.016
OSR076,Gobi 65,278.293,0.561,3.592,29.11,0.571,0.289,69.217
OSR077,Paneer lababdar,105.476,3.984,3.368,8.465,1.157,1.964,142.451
OSR078,Roasted cauliflower steak,78.675,2.048,2.025,6.698,3.532,0.443,120.19
OSR079,Sauteed radishes with green beans,94.325,2.413,6.037,6.609,3.519,1.777,65.099
OSR080,Garlic chutney/Poondu chutney (Lahasun ki chutney),255.508,3.336,20.437,17.552,5.147,13.36,177.621
OSR081,Schezwan chutney,205.186,3.326,10.792,17.722,5.722,5.656,486.267
OSR083,Onion chutney (Pyaaz ki chutney/Vengaya chutney),143.938,2.969,13.52,8.38,4.602,6.805,256.893
OSR085,Dates chutney (Khajoor ki chutney),103.572,1.068,21.692,1.122,3.412,18.677,76.768
OSR086,Chicken salad,338.194,15.328,1.303,30.257,1.996,0.962,50.617
OSR087,Macaroni salad,262.193,5.016,21.628,17.782,0.555,3.726,163.989
OSR088,Cabbage raita (Pattagobhi raita),84.837,3.244,5.247,5.76,0.926,4.214,125.313
OSR089,Pomegranate raita (Anaar ka raita),72.645,4.048,7.152,3.238,0.6,7.012,195.183
OSR090,Onion raita (Pyaaz ka raita),71.557,4.855,7.863,2.425,0.648,7.07,189.965
OSR091,Green chilli raita (Hari mirch ka raita),77.129,5.579,7.661,2.924,0.259,7.493,161.314
OSR092,Kale salad,177.714,4.855,5.006,15.329,1.359,3.306,292.036
OSR093,Spinach and paneer souffle ,186.195,7.561,9.641,13.494,1.068,2.806,434.685
OSR094,Masala souffle ,123.515,6.383,8.02,7.365,1.242,1.837,131.141
OSR095,Chicken and cheese souffle,182.354,9.068,3.466,14.738,0.256,2.465,120.931
OSR096,Tamarind chutney (Chintapandu pachadi/Puli chutney),109.148,0.878,25.066,0.484,1.648,22.849,75.609
OSR097,Pav bhaji masala,230.466,9.129,29.149,10.964,24.305,1.481,1814.664
OSR098,Green chutney,79.417,5.423,10.008,1.605,5.837,0.918,262.81
OSR099,Sago khitchdi/khichri (Sabudana khitchdi/khichri),187.164,2.721,22.414,10.101,1.824,1.034,100.261
OSR100,Gram flour chilla/cheela (Besan chilla/cheela),135.93,7.802,21.029,2.852,4.251,1.869,135.572
OSR101,Vegetable namkeen jave,112.231,2.931,18.977,2.506,2.859,1.042,32.129
OSR102,Khakhra,178.496,4.775,27.663,5.319,5.434,0.881,184.158
OSR103,Moong bean dosa (Pesarattu),285.956,12.318,31.906,11.665,6.04,2.901,61.357
OSR104,Methi thepla,346.156,8.98,41.339,15.945,7.56,2.982,543.267
OSR105,Rice puttu (Ari puttu),81.982,1.26,11.821,3.126,0.756,0.33,48.283
OSR106,Buckwheat pancake (Khura),263.298,2.907,27.277,16.433,0.559,0.641,69.972
OSR107,Quinoa khichdi/khichri,64.011,3.179,8.831,1.591,2.577,0.688,69.643
OSR108,Khakhra chaat,358.663,4.524,16.642,30.648,3.042,3.262,102.784
OSR110,Banana appam,469.805,1.168,20.058,42.528,0.674,9.948,20.135
OSR111,Veg manchurian,585.641,0.889,6.819,61.652,1.161,0.757,65.313
OSR112,Pav bhaji,96.525,2.66,11.993,4.318,1.98,2.057,163.894
OSR113,Rice murukku,593.99,5.415,33.293,48.225,2.183,0.17,63.313
OSR114,Bhel puri ,509.887,3.518,16.468,47.912,2.24,3.408,93.977
OSR115,Semolina dhokla (Suji/Rava dhokla),194.915,5.436,30.865,5.201,5.118,1.847,443.389
OSR116,Spicy corn chaat ,479.799,4.607,11.447,46.552,2.168,0.948,86.5
OSR118,Jackfruit fritters (Ponsa mulik/Kathal ka pakora),597.788,2.341,24.002,54.406,1.501,11.481,46.394
OSR119,Banana chips (Kele ke chips),665.666,0.367,7.322,70.456,0.649,4.373,86.867
OSR120,Wheat cake,314.629,4.79,41.133,14.95,2.763,25.787,82.962
OSR121,Mango cheesecake,152.459,2.388,20.061,7.304,1.145,15.36,107.123
OSR122,Carrot cake (Gajar ka cake),255.587,5.6,35.984,10.27,2.935,23.957,158.74
OSR123,Semolina cake (Suji/Rava cake),374.14,6.581,31.324,25.18,5.371,18.861,91.36
OSR124,Finger millet cake (Ragi cake),279.462,3.956,38.932,12.267,2.353,24.76,98.262
OSR125,Honey cake,333.593,3.078,49.041,14.703,0.506,33.434,72.554
OSR126,Almond cardamom cake (Badam elaichi cake),356.348,7.177,34.532,21.356,2.349,18.058,155.373
OSR127,Tutti frutti cake,347.722,4.491,52.937,12.682,0.846,28.085,106.358
OSR128,Ham and Bean soup,96.042,10.607,4.177,4.151,0.543,1.435,378.144
OSR129,Whey soup,68.91,3.455,6.259,3.338,0.839,5.867,87.075
OSR130,Bottle gourd soup (Ghiya/Lauki soup),23.048,0.454,1.161,1.795,0.959,0.389,53.806
OSR131,Baked potato soup,147.054,5.732,5.851,11.208,0.299,3.438,268.692
OSR132,Pumpkin soup,40.045,0.47,2.076,3.201,1.191,1.47,45.497
OSR133,Sweet corn soup,32.246,0.99,3.565,1.632,0.311,0.896,22.351
OSR134,Paneer soup,47.851,3.222,2.424,2.801,0.28,1.977,68.032
OSR135,Curried Cauliflower soup,37.323,6.715,3.117,9.773,2.338,1.791,7311.438
OSR136,Millet soup,55.993,11.263,8.22,12.57,2.823,1.453,10918.831
OSR137,Lemon coriander soup,108.062,2.268,10.316,6.259,6.769,2.195,219.175
OSR138,Garlic soup,194.858,2.384,6.985,17.619,1.663,2.387,179.255
OSR139,Dal makhani,74.04,3.315,7.959,3.063,2.271,0.798,41.845
OSR141,Dalma,118.926,4.908,15.043,4.584,2.159,3.096,49.353
OSR142,Split bengal gram dal (Channa dal),99.671,4.152,9.994,4.622,3.717,0.976,46.399
OSR143,Horsegram dal (Kulthi dal) ,55.647,2.909,8.207,1.135,1.522,0.722,63.628
OSR144,Panchmel dal,111.222,4.625,10.709,5.356,3.197,0.747,79.462
OSR145,Dal dhokli,68.737,2.957,8.545,2.471,1.861,1.122,37.534
OSR146,Gujarati handvo ,207.089,8.24,31.855,4.801,4.954,2.511,308.546
OSR147,Sev (Omapodi/Karapusa),609.143,5.116,12.87,60.076,2.347,0.525,53.189
OSR148,Papdi,708.961,1.829,12.893,72.111,0.564,0.313,28.909
OSR151,Jowar dosa,294.347,8.504,40.532,10.276,5.562,0.592,97.245
OSR152,Bread roll,435.456,2.855,16.118,40.249,1.446,0.944,139.343
OSR153,Soya seekh kebab,115.049,5.395,10.0,5.878,2.237,0.515,92.246
OSR154,Classic seasoned black beans,28.778,8.007,7.656,8.283,3.506,0.441,7989.073
OSR155,Maa chaane ki dal,344.666,19.8,43.109,9.504,13.451,1.054,43.305
OSR156,Garlic chickpea soup (Lahasun aur chane ka shoraba),89.53,4.448,13.918,2.014,2.84,2.653,79.733
ASC071,White sauce (thin),115.169,3.313,6.578,8.408,0.074,4.584,23.912
ASC072,White sauce (medium),151.274,3.358,7.977,11.762,0.138,4.323,22.591
ASC073,White sauce (thick),209.694,3.431,10.241,17.19,0.24,3.901,20.452
ASC074,Cheese sauce,194.762,7.684,7.082,15.125,0.118,4.528,317.378
ASC075,Egg sauce,146.853,5.967,5.88,11.079,0.124,3.191,51.536
ASC076,Mushroom sauce,137.564,3.394,7.313,10.506,0.467,3.856,20.944
ASC077,Mustard sauce,158.584,3.979,8.286,12.174,0.134,4.218,22.163
ASC078,Brown sauce,109.176,11.923,5.378,23.673,1.69,0.13,14174.595
ASC130,Classic italian pasta,42.12,0.572,4.402,2.453,1.362,2.939,49.035
ASC131,Pasta spinach sauce,85.464,1.765,1.76,7.896,0.86,1.042,115.785
ASC132,Pasta cheese sauce,149.263,4.332,9.003,10.842,0.138,4.216,255.951
ASC266,Mayonnaise,774.858,1.865,1.649,84.525,0.113,1.442,272.89
ASC267,Low calorie quick mayonnaise,242.891,1.406,4.711,24.35,0.065,0.826,165.942
ASC268,Thousand island dressing,407.873,1.366,4.494,42.865,0.456,3.105,946.099
ASC388,Curd dip,79.954,5.044,7.948,3.359,0.103,7.119,301.067
ASC394,Short crust pastry,422.095,6.106,44.716,23.977,1.581,3.179,97.197
ASC406,Choux pastry,222.37,5.551,16.195,14.956,0.559,1.505,132.282
ASC410,Flaky pastry,443.94,4.688,33.606,31.986,1.249,0.81,178.525
ASC428,Sponge cake ,253.771,9.184,44.632,4.742,0.687,26.329,64.607
ASC434,Glace icing,323.515,0.006,86.315,0.01,0.0,85.351,9.88
ASC436,Royal icing,332.583,1.74,86.53,0.019,0.0,85.572,36.499
ASC437,American frosting,257.574,1.054,67.477,0.009,0.0,67.461,19.331
ASC438,Gum icing,223.07,5.944,53.189,0.0,0.0,52.631,29.324
ASC475,Channa murmura premix,339.092,10.587,72.589,3.276,8.212,1.519,206.283
ASC476,Cracked wheat and green gram dal premix (Dalia moong dal premix),362.158,15.891,64.745,5.108,11.662,0.632,3.249
ASC477,Rice flakes and roasted channa ,333.404,10.566,71.938,2.94,8.842,1.309,205.506
ASC479,Spinach soup in milk ,56.723,2.887,3.977,3.2,0.793,3.34,31.157
ASC480,Vegetable soup,55.206,2.217,7.602,1.55,3.014,1.609,170.678
ASC481,Mashed banana with milk,95.435,2.506,14.623,2.994,0.713,11.348,16.99
ASC484,Poha with curd (Poha aur dahi),173.325,6.011,26.723,4.654,1.094,5.46,325.066
ASC485,Potato with curd,73.18,3.191,12.006,1.333,1.022,3.299,190.902
ASC486,Sweet wheat porridge (Sweet dalia),140.663,5.115,23.768,2.794,2.365,12.234,24.627
ASC487,Vegetable khichdi/khichri,143.165,5.611,19.573,4.526,2.454,3.71,193.554
ASC489,Moong dal mixture,158.836,4.621,33.926,1.003,1.897,24.683,29.596
ASC490,Cracked wheat khichri/khichdi (Dalia khichri/khichdi),167.453,7.557,22.349,5.516,3.745,3.787,224.945
ASC492,Stewed apple,91.931,0.166,22.491,0.366,1.48,20.446,1.531
ASC493,Lemon squash (Nimbu ka squash),184.559,0.154,48.877,0.062,0.0,48.877,15.011
ASC494,Orange squash (Santre ka squash),193.259,0.215,50.883,0.04,0.397,50.557,14.848
ASC495,Lichi squash,198.331,0.305,51.956,0.08,0.412,51.307,14.562
ASC496,Mango squash (Aam ka squash),194.655,0.166,50.963,0.169,0.578,50.837,14.808
ASC497,Pineapple squash (Ananas ka squash),195.023,0.16,51.344,0.049,1.064,51.08,14.835
ASC498,Lemon and ginger squash (Nimbu aur adrak ka squash),170.343,0.544,44.061,0.21,1.072,42.529,16.191
ASC499,Apple jam (Seb ka murabba),188.79,0.145,48.555,0.32,1.295,46.765,2.715
ASC500,Plum jam (Aloo bukhara jam),178.886,0.308,46.202,0.192,0.995,45.255,2.668
ASC501,Pineapple jam ,149.179,0.322,38.267,0.151,2.203,37.442,2.454
ASC502,Guava jelly (Amrood ki jelly),115.742,1.108,28.177,0.246,6.608,27.385,3.362
ASC503,Orange marmalade (Santray ka murabba),104.168,0.661,25.943,0.129,1.967,25.087,2.315
ASC504,Carrot murabba (Gajar ka murabba),175.24,0.317,45.6,0.157,1.393,44.827,19.527
ASC505,Gooseberry marmalade (Amla murabba),123.161,0.136,32.343,0.027,0.0,28.61,216.894
ASC506,Ginger candy (Adrak ki candy),195.709,0.694,50.381,0.266,1.675,47.987,5.4
ASC507,Mango pickle (Aam ka achaar),192.119,1.596,8.115,17.888,3.677,1.795,3429.939
ASC509,Mixed vegetable pickle (Sabziyoon ka achaar),211.205,1.899,7.483,19.682,2.764,2.769,2488.321
ASC511,Sweet lemon pickle (Neembu ka meetha achaar),69.542,1.22,16.87,0.208,2.134,14.632,6415.902
ASC512,Plum chutney (Aloo bukhara ki chutney),177.108,0.466,44.954,0.286,1.368,43.904,216.814
ASC513,Raw mango chutney (Kachhe aam/Kairi ki chutney),193.134,0.515,49.941,0.156,2.17,45.224,480.678
ASC514,Tomato sauce,34.328,0.811,7.234,0.274,1.788,5.687,174.792
ASC515,Tomato puree,20.624,0.752,3.684,0.247,1.563,2.319,244.99
BFP001,Garam masala,254.215,9.887,26.196,10.972,35.564,1.791,58.33
BFP002,Chat masala,222.582,8.19,23.866,9.913,18.621,0.79,11873.641
BFP003,Kashmiri masala,389.021,8.258,23.161,31.03,12.12,2.41,3106.138
BFP004,Rasam powder (Rasam masala),267.961,12.037,25.187,11.802,35.709,1.911,38.779
BFP005,Sambar powder (Sambar masala),297.465,12.497,23.377,15.577,34.555,1.871,27.664
BFP095,Tartare sauce,610.935,1.436,2.96,66.118,0.416,2.182,256.946
