food_code,food_name,energy_kcal,protein_g,carb_g,fat_g,fibre_g,freesugar_g,sodium_mg
BFP082,Cream of potato soup,60.203,8.1,6.143,12.05,1.515,1.24,8503.991
BFP087,Almond soup (Badam ka soup),78.651,10.131,3.683,13.799,0.906,1.945,8376.936
BFP088,Cold cucumber cream soup ,11.877,0.336,1.759,0.337,0.731,0.509,207.891
BFP089,Cold tomato soup,16.904,0.113,0.592,1.557,0.161,0.22,287.149
BFP090,Chicken stew,127.546,7.193,4.442,8.912,1.818,1.434,79.616
BFP091,Veg paneer stew,145.545,6.985,10.215,8.407,3.079,4.851,73.153
BFP108,Onion-green chilli parantha/paratha (Pyaaz aur hari mirch ka parantha/paratha),191.271,4.371,26.37,7.269,5.162,2.71,241.191
BFP110,Methi parantha/paratha,148.362,4.271,22.191,4.345,5.09,2.439,48.358
BFP114,Bathua poori,598.794,2.353,13.852,59.137,1.871,0.415,49.711
BFP115,Gram flour poori (Besan poori),697.665,2.587,10.935,71.513,1.936,0.348,58.326
BFP116,Beetroot poori (Chukandar ki poori),527.658,1.913,12.289,52.178,1.398,0.545,46.481
BFP117,Peas poori (Matar ki poori),592.831,3.037,14.917,57.692,2.253,0.482,47.766
BFP118,Peas kachori (Matar kachori),584.683,3.213,13.248,57.506,2.031,0.496,55.451
BFP122,Pizza,146.773,6.849,9.943,8.724,1.707,1.38,225.017
BFP124,Bacon and mushroom pancake,157.669,6.82,8.469,10.602,1.587,1.229,344.235
BFP125,Cheese and tomato pancake,147.385,5.146,10.664,9.284,1.058,3.479,281.618
BFP127,Minced meat pancake (with chicken),116.041,12.013,8.177,10.478,0.702,1.294,4942.178
BFP132,Eggplant/Brinjal rice (Vangi bhat),184.796,5.279,31.74,3.674,4.436,4.363,59.055
BFP133,Kashmiri 'tahar',98.207,1.952,19.108,1.365,0.976,0.168,61.293
BFP134,Cumin pulao (Jeera/Zeera pulao),135.241,2.472,23.61,3.196,1.399,0.638,219.733
BFP136,Peas pulao (Matar pulao),108.869,3.894,18.416,1.903,3.212,1.305,86.18
BFP137,Split bengal gram dal and vegetable pulao (Channa dal and vegetable pulao),116.525,3.601,19.72,2.296,3.159,1.586,98.066
BFP138,Black channa pulao/ Bengal gram pulao (Kale chane ka pulao),125.512,3.436,21.553,2.578,2.694,1.991,103.086
BFP141,Mutton pulao,130.772,6.518,11.26,10.78,1.651,0.996,3115.587
BFP142,Chicken pulao,108.241,6.075,11.168,8.476,1.637,0.988,3093.47
BFP143,Mexican rice,120.566,4.623,14.214,4.88,1.641,1.441,93.417
BFP144,Plain khitchdi (Plain khichri/khichdi),57.03,1.718,10.042,1.006,0.848,0.121,37.144
BFP147,Instant idli (with semolina),247.287,9.165,43.403,3.607,7.125,3.35,1504.663
BFP148,Plain dosa,380.906,10.336,64.079,8.431,5.23,0.696,142.979
BFP150,Masala dosa mixed vegetable fillings,144.533,4.835,23.016,3.258,4.312,1.53,122.081
BFP151,Masala dosa paneer fillings,243.116,10.309,29.755,8.843,3.115,4.812,160.4
BFP152,Uttapam,255.946,6.183,36.277,9.029,4.396,1.499,228.692
BFP153,Appam,267.698,3.12,13.279,22.63,6.193,4.157,26.594
